
8	9	284	285	3.25472743956e-10
8	9	278	279	4.86476397237e-10
8	9	272	273	2.53147887543e-10
8	9	266	267	3.53505921014e-10
8	9	260	261	1.24183820392e-09
8	9	254	255	1.75815747748e-09
8	9	248	249	1.12921858036e-09
8	9	242	243	1.4971637438e-09
8	9	236	237	4.89793856947e-09
8	9	230	231	6.91067555508e-09
8	9	224	225	4.21617833232e-09
8	9	218	219	6.50745789248e-09
8	9	212	213	2.15878971884e-08
8	9	206	207	3.07322718859e-08
8	9	200	201	2.01071589116e-08
8	9	194	195	3.08044267671e-08
8	9	188	189	9.9534059268e-08
8	9	182	183	1.49733371816e-07
8	9	176	177	1.21745480271e-07
8	9	170	171	1.94521864082e-07
8	9	164	165	5.02695615786e-07
8	9	158	159	7.54643933913e-07
8	9	152	153	6.96764447702e-07
8	9	146	147	8.72752795722e-07
8	9	140	141	2.03545184909e-06
8	9	134	135	3.20585834156e-06
8	9	128	129	2.58576982572e-06
8	9	122	123	2.70635670857e-06
8	9	116	117	7.56746406586e-06
8	9	110	111	1.18492434003e-05
8	9	104	105	8.52788130857e-06
8	9	98	99	9.97849585172e-06
8	9	92	93	3.08523970458e-05
8	9	86	87	4.07051021387e-05
8	9	80	81	2.74945899915e-05
8	9	74	75	4.5463544773e-05
8	9	68	69	0.000101966128504
8	9	62	63	0.000176663021036
8	9	56	57	8.74413718971e-05
8	9	50	51	0.000136444790174
8	9	44	45	0.000810694443574
8	9	38	39	0.000422376051282
8	9	32	33	0.000651091631774
8	9	26	27	0.00176638629293
8	9	20	21	0.0019165924302
8	9	14	15	0.011021375121
