
44	45	188	189	1.70948784621e-05
44	45	184	185	2.44097223194e-06
44	45	180	181	2.40958810303e-05
44	45	176	177	6.68495306376e-06
44	45	172	173	2.47926925351e-05
44	45	168	169	1.26886671645e-05
44	45	164	165	2.01670214438e-05
44	45	160	161	2.12421968026e-05
44	45	156	157	1.28645042053e-05
44	45	152	153	3.36036627864e-05
44	45	148	149	6.64759770517e-06
44	45	144	145	4.89117191197e-05
44	45	140	141	5.12453987529e-06
44	45	136	137	6.40099325071e-05
44	45	132	133	1.08006627679e-05
44	45	128	129	7.23667757046e-05
44	45	124	125	2.58550290675e-05
44	45	120	121	6.87014969351e-05
44	45	116	117	5.28728105907e-05
44	45	112	113	5.19901232048e-05
44	45	108	109	9.49399270766e-05
44	45	104	105	3.11281352008e-05
44	45	100	101	0.000147863507057
44	45	96	97	2.1046762403e-05
44	45	92	93	0.000208574697191
44	45	88	89	3.42726327818e-05
44	45	84	85	0.00026646302115
44	45	80	81	8.50961260412e-05
44	45	76	77	0.000311449629723
44	45	72	73	0.000205145750738
44	45	68	69	0.000341024769796
44	45	64	65	0.000520892815307
44	45	60	61	0.000393065058717
44	45	56	57	0.00159205711733
44	45	52	53	0.000410833035815
